timestamp,final_value
2026-01-11 06:28:50.686957+00:00,47.1
2026-01-11 06:13:50.321317+00:00,47.4
2026-01-11 05:58:50.321952+00:00,47.8
2026-01-11 05:43:50.428093+00:00,47.7
2026-01-11 05:28:50.427039+00:00,47.3
2026-01-11 05:13:50.453242+00:00,47.1
2026-01-11 04:58:50.426619+00:00,45.8
2026-01-11 04:43:50.421522+00:00,48.5
2026-01-11 04:28:50.526241+00:00,48.3
2026-01-11 04:13:50.550445+00:00,48.1
2026-01-11 03:58:50.581104+00:00,47.6
2026-01-11 03:43:50.526641+00:00,48.4
2026-01-11 03:28:50.634184+00:00,48.5
2026-01-11 03:13:50.664633+00:00,48.0
2026-01-11 02:58:50.638330+00:00,47.8
2026-01-11 02:43:50.627987+00:00,47.8
2026-01-11 02:28:50.743634+00:00,48.3
2026-01-11 02:13:50.767117+00:00,48.3
2026-01-11 01:58:50.813476+00:00,48.5
2026-01-11 01:43:50.734223+00:00,48.3
2026-01-11 01:28:50.726346+00:00,48.9
2026-01-11 01:13:50.882068+00:00,48.3
2026-01-11 00:58:50.915301+00:00,48.5
2026-01-11 00:43:51.406106+00:00,48.7
2026-01-11 00:28:50.835405+00:00,48.9
2026-01-11 00:13:50.838333+00:00,48.6
2026-01-10 23:58:51.202296+00:00,48.0
2026-01-10 23:43:51.176182+00:00,48.3
2026-01-10 23:28:51.312449+00:00,48.5
2026-01-10 23:13:50.881247+00:00,48.6
2026-01-10 22:58:51.326245+00:00,48.8
2026-01-10 22:43:51.252971+00:00,49.3
2026-01-10 22:28:51.162060+00:00,48.9
2026-01-10 22:13:50.987604+00:00,49.8
2026-01-10 21:58:51.650053+00:00,49.9
2026-01-10 21:43:51.106602+00:00,50.5
2026-01-10 21:28:51.085770+00:00,50.9
2026-01-10 21:13:51.085133+00:00,50.4
2026-01-10 20:58:51.434350+00:00,51.5
2026-01-10 20:30:46.400650+00:00,51.5
2026-01-10 20:00:47.092651+00:00,51.8
2026-01-10 19:58:36.334458+00:00,52.2
2026-01-10 19:57:36.337613+00:00,52.0
2026-01-10 19:56:36.321240+00:00,52.0
2026-01-10 19:55:36.314474+00:00,51.8
2026-01-10 19:54:36.306472+00:00,51.7
2026-01-10 19:53:36.298717+00:00,52.1
2026-01-10 19:52:36.311620+00:00,52.0
2026-01-10 19:51:36.283963+00:00,52.0
2026-01-10 19:50:36.280591+00:00,52.2
2026-01-10 19:49:36.278969+00:00,52.2
